Epoch,Phase,Iteration,Accuracy,Loss
331,Val,3304,nan,nan
332,Training,3312,nan,nan
332,Val,3312,nan,nan
332,Training,3320,nan,nan
332,Val,3320,nan,nan
333,Training,3328,nan,nan
333,Val,3328,nan,nan
334,Training,3336,nan,nan
334,Val,3336,nan,nan
335,Training,3344,nan,nan
335,Val,3344,nan,nan
336,Training,3352,nan,nan
336,Val,3352,nan,nan
336,Training,3360,nan,nan
336,Val,3360,nan,nan
337,Training,3368,nan,nan
337,Val,3368,nan,nan
338,Training,3376,nan,nan
338,Val,3376,nan,nan
339,Training,3384,nan,nan
339,Val,3384,nan,nan
340,Training,3392,nan,nan
340,Val,3392,nan,nan
340,Training,3400,nan,nan
340,Val,3400,nan,nan
341,Training,3408,nan,nan
341,Val,3408,nan,nan
342,Training,3416,nan,nan
342,Val,3416,nan,nan
343,Training,3424,nan,nan
343,Val,3424,nan,nan
344,Training,3432,nan,nan
344,Val,3432,nan,nan
344,Training,3440,nan,nan
344,Val,3440,nan,nan
345,Training,3448,nan,nan
345,Val,3448,nan,nan
346,Training,3456,nan,nan
346,Val,3456,nan,nan
347,Training,3464,nan,nan
347,Val,3464,nan,nan
348,Training,3472,nan,nan
348,Val,3472,nan,nan
348,Training,3480,nan,nan
348,Val,3480,nan,nan
349,Training,3488,nan,nan
349,Val,3488,nan,nan
350,Training,3496,nan,nan
350,Val,3496,nan,nan
351,Training,3504,nan,nan
351,Val,3504,nan,nan
352,Training,3512,nan,nan
352,Val,3512,nan,nan
352,Training,3520,nan,nan
352,Val,3520,nan,nan
353,Training,3528,nan,nan
353,Val,3528,nan,nan
354,Training,3536,nan,nan
354,Val,3536,nan,nan
355,Training,3544,nan,nan
355,Val,3544,nan,nan
356,Training,3552,nan,nan
356,Val,3552,nan,nan
356,Training,3560,nan,nan
356,Val,3560,nan,nan
357,Training,3568,nan,nan
357,Val,3568,nan,nan
358,Training,3576,nan,nan
358,Val,3576,nan,nan
359,Training,3584,nan,nan
359,Val,3584,nan,nan
360,Training,3592,nan,nan
360,Val,3592,nan,nan
360,Training,3600,nan,nan
360,Val,3600,nan,nan
361,Training,3608,nan,nan
361,Val,3608,nan,nan
362,Training,3616,nan,nan
362,Val,3616,nan,nan
363,Training,3624,nan,nan
363,Val,3624,nan,nan
364,Training,3632,nan,nan
364,Val,3632,nan,nan
364,Training,3640,nan,nan
364,Val,3640,nan,nan
365,Training,3648,nan,nan
365,Val,3648,nan,nan
366,Training,3656,nan,nan
366,Val,3656,nan,nan
367,Training,3664,nan,nan
367,Val,3664,nan,nan
368,Training,3672,nan,nan
368,Val,3672,nan,nan
368,Training,3680,nan,nan
368,Val,3680,nan,nan
369,Training,3688,nan,nan
369,Val,3688,nan,nan
370,Training,3696,nan,nan
370,Val,3696,nan,nan
371,Training,3704,nan,nan
371,Val,3704,nan,nan
372,Training,3712,nan,nan
372,Val,3712,nan,nan
372,Training,3720,nan,nan
372,Val,3720,nan,nan
373,Training,3728,nan,nan
373,Val,3728,nan,nan
374,Training,3736,nan,nan
374,Val,3736,nan,nan
375,Training,3744,nan,nan
375,Val,3744,nan,nan
376,Training,3752,nan,nan
376,Val,3752,nan,nan
376,Training,3760,nan,nan
376,Val,3760,nan,nan
377,Training,3768,nan,nan
377,Val,3768,nan,nan
378,Training,3776,nan,nan
378,Val,3776,nan,nan
379,Training,3784,nan,nan
379,Val,3784,nan,nan
380,Training,3792,nan,nan
380,Val,3792,nan,nan
380,Training,3800,nan,nan
380,Val,3800,nan,nan
381,Training,3808,nan,nan
381,Val,3808,nan,nan
382,Training,3816,nan,nan
382,Val,3816,nan,nan
383,Training,3824,nan,nan
383,Val,3824,nan,nan
384,Training,3832,nan,nan
384,Val,3832,nan,nan
384,Training,3840,nan,nan
384,Val,3840,nan,nan
385,Training,3848,nan,nan
385,Val,3848,nan,nan
386,Training,3856,nan,nan
386,Val,3856,nan,nan
387,Training,3864,nan,nan
387,Val,3864,nan,nan
388,Training,3872,nan,nan
388,Val,3872,nan,nan
388,Training,3880,nan,nan
388,Val,3880,nan,nan
389,Training,3888,nan,nan
389,Val,3888,nan,nan
390,Training,3896,nan,nan
390,Val,3896,nan,nan
391,Training,3904,nan,nan
391,Val,3904,nan,nan
392,Training,3912,nan,nan
392,Val,3912,nan,nan
392,Training,3920,nan,nan
392,Val,3920,nan,nan
393,Training,3928,nan,nan
393,Val,3928,nan,nan
394,Training,3936,nan,nan
394,Val,3936,nan,nan
395,Training,3944,nan,nan
395,Val,3944,nan,nan
396,Training,3952,nan,nan
396,Val,3952,nan,nan
396,Training,3960,nan,nan
396,Val,3960,nan,nan
397,Training,3968,nan,nan
397,Val,3968,nan,nan
398,Training,3976,nan,nan
398,Val,3976,nan,nan
399,Training,3984,nan,nan
399,Val,3984,nan,nan
400,Training,3992,nan,nan
400,Val,3992,nan,nan
